Date,AdjClose
2019-01-02,76.956497
2019-01-03,75.014000
2019-01-04,78.769501
2019-01-07,81.475502
2019-01-08,82.829002
2019-01-09,82.971001
2019-01-10,82.810997
2019-01-11,82.028000
2019-01-14,80.860497
2019-01-15,83.727997
2019-01-16,84.189003
2019-01-17,84.661003
2019-01-18,84.809998
2019-01-22,81.608498
2019-01-23,82.000999
2019-01-24,82.746498
2019-01-25,83.528503
2019-01-28,81.894501
2019-01-29,79.694000
2019-01-30,83.521500
2019-01-31,85.936501
2019-02-01,81.311501
2019-02-04,81.665497
2019-02-05,82.940498
2019-02-06,82.013000
2019-02-07,80.718498
2019-02-08,79.411003
2019-02-11,79.550003
2019-02-12,81.900497
2019-02-13,82.000000
2019-02-14,81.132500
2019-02-15,80.397499
2019-02-19,81.378998
2019-02-20,81.105003
2019-02-21,80.972000
2019-02-22,81.578003
2019-02-25,81.650002
2019-02-26,81.820000
2019-02-27,82.054497
2019-02-28,81.991501
2019-03-01,83.586502
2019-03-04,84.808502
2019-03-05,84.621498
2019-03-06,83.447502
2019-03-07,81.297501
2019-03-08,81.040001
2019-03-11,83.530998
2019-03-12,83.654999
2019-03-13,84.540497
2019-03-14,84.310997
2019-03-15,85.617996
2019-03-18,87.107498
2019-03-19,88.092499
2019-03-20,89.863503
2019-03-21,90.962997
2019-03-22,88.238503
2019-03-25,88.712997
2019-03-26,89.188004
2019-03-27,88.285004
2019-03-28,88.670998
2019-03-29,89.037498
2019-04-01,90.709503
2019-04-02,90.698997
2019-04-03,91.035004
2019-04-04,90.943001
2019-04-05,91.863998
2019-04-08,92.492996
2019-04-09,91.792000
2019-04-10,92.366501
2019-04-11,92.203499
2019-04-12,92.153000
2019-04-15,92.243500
2019-04-16,93.152000
2019-04-17,93.240997
2019-04-18,93.084503
2019-04-22,94.365501
2019-04-23,96.188499
2019-04-24,95.087502
2019-04-25,95.112503
2019-04-26,97.531502
2019-04-29,96.921501
2019-04-30,96.325996
2019-05-01,95.575996
2019-05-02,95.041000
2019-05-03,98.123001
2019-05-06,97.527496
2019-05-07,96.050003
2019-05-08,95.888496
2019-05-09,94.993500
2019-05-10,94.499001
2019-05-13,91.134003
2019-05-14,92.005997
2019-05-15,93.557503
2019-05-16,95.378502
2019-05-17,93.449997
2019-05-20,92.948502
2019-05-21,92.875999
2019-05-22,92.984001
2019-05-23,90.774002
2019-05-24,91.164001
2019-05-28,91.821503
2019-05-29,90.959503
2019-05-30,90.816002
2019-05-31,88.753502
2019-06-03,84.634499
2019-06-04,86.477997
2019-06-05,86.925003
2019-06-06,87.718002
2019-06-07,90.201500
2019-06-10,93.031502
2019-06-11,93.184998
2019-06-12,92.765999
2019-06-13,93.514999
2019-06-14,93.483498
2019-06-17,94.301498
2019-06-18,95.068497
2019-06-19,95.439499
2019-06-20,95.909500
2019-06-21,95.565002
2019-06-24,95.695000
2019-06-25,93.913498
2019-06-26,94.891502
2019-06-27,95.213997
2019-06-28,94.681503
2019-07-01,96.109497
2019-07-02,96.715500
2019-07-03,96.949997
2019-07-05,97.145500
2019-07-08,97.615997
2019-07-09,99.415001
2019-07-10,100.870499
2019-07-11,100.053497
2019-07-12,100.550003
2019-07-15,101.049500
2019-07-16,100.495003
2019-07-17,99.601501
2019-07-18,98.894997
2019-07-19,98.225998
2019-07-22,99.281502
2019-07-23,99.724503
2019-07-24,100.040497
2019-07-25,98.691002
2019-07-26,97.152496
2019-07-29,95.622498
2019-07-30,94.926498
2019-07-31,93.338997
2019-08-01,92.765999
2019-08-02,91.162003
2019-08-05,88.256500
2019-08-06,89.391502
2019-08-07,89.669998
2019-08-08,91.644501
2019-08-09,90.378998
2019-08-12,89.246002
2019-08-13,91.217003
2019-08-14,88.148003
2019-08-15,88.806000
2019-08-16,89.628502
2019-08-19,90.806000
2019-08-20,90.069000
2019-08-21,91.177002
2019-08-22,90.233002
2019-08-23,87.481003
2019-08-26,88.443497
2019-08-27,88.091499
2019-08-28,88.212502
2019-08-29,89.320000
2019-08-30,88.814499
2019-09-03,89.491997
2019-09-04,90.030998
2019-09-05,92.036003
2019-09-06,91.675499
2019-09-09,91.567497
2019-09-10,91.027496
2019-09-11,91.149498
2019-09-12,92.177498
2019-09-13,91.967003
2019-09-16,90.391998
2019-09-17,91.127502
