date	gdprowth	sp500returns
2001Q4	0.3495	-3.729164
2002Q1	0.854	1.665577
2002Q2	0.53196	-5.265698
2002Q3	0.50746	-16.26798
2002Q4	0.03452	-1.411584
2003Q1	0.41672	-2.728144
2003Q2	0.84716	8.674037
2003Q3	1.64601	6.84346
2003Q4	0.90439	5.459528
2004Q1	0.65871	7.378235
2004Q2	0.64368	-0.838487
2004Q3	0.74451	-1.659996
2004Q4	0.81796	5.14442
2005Q1	1.03171	2.698416
2005Q2	0.44507	-0.89385
2005Q3	0.79391	3.536745
2005Q4	0.51379	0.536045
2006Q1	1.2626	4.287944
2006Q2	0.40554	-0.128772
2006Q3	0.01313	0.466742
2006Q4	0.67952	7.767771
2007Q1	0.13575	2.664324
2007Q2	0.89996	5.026431
2007Q3	0.73025	-0.449765
2007Q4	0.42352	0.523738
2008Q1	-0.44424	-9.626399
2008Q2	0.32939	1.433652
2008Q3	-0.92859	-8.646915
2008Q4	-2.30077	-26.93673
2009Q1	-1.70994	-11.70336
2009Q2	-0.17294	10.12124
2009Q3	0.42084	11.5588
2009Q4	0.93741	9.529949
2010Q1	0.96929	3.177541
2010Q2	0.93371	1.237312
2010Q3	0.62105	-3.706996
2010Q4	0.58221	9.913001
2011Q1	0.08929	8.1783
2011Q2	0.33187	1.315065
2011Q3	0.45058	-6.846735
2011Q4	0.73059	-0.361719
2012Q1	0.54658	10.02062
